id;relation;entity1;id1;entity2;id2
117;ao;7018;Presidenta Dilma;6514;Senado
118;ao;4;Dilma;18;Senado
119;apodrecido impeachment;1999;Dilma Rousseff;18;Senado Federal
120;apoiar candidatura;27;PMDB;11367;Dilma.
121;apoiaria caso;5680;Dilma;6514;Senado
122;apoiou governo;5611;Brasil;5680;Dilma Rousseff
123;aponta senador;7874;Dilma;8146;Assista
124;aposentar revista;7874;Dilma;9667;Secretário Executivo
125;apresenta defesa;11367;Dilma Rousseff;18;Senado
126;apresentado juristas;1999;Dilma;73;Miguel Reale Júnior
127;apresentado juristas;4394;Dilma;73;Miguel Reale Júnior
128;apresentado juristas;7874;Dilma;73;Miguel Reale Júnior
129;apresentados defesa;404;Anastasia;5680;Dilma
130;apresentar ações;1999;Dilma Rousseff;304;Tribunal Federal
131;apresentar orçamento;10305;Dilma;1584;déficit
132;apresentou;5680;Dilma Rousseff;6514;Senado
133;apresentou;10305;Dilma Rousseff;12467;Parecer Técnico Contábil Divergente
134;apresentou ação;10305;presidente Dilma Rousseff;2123;Tribunal Federal
135;aprovadas ressalvas;24;Dilma;314;TSE.
136;aprovado plenário;24;Dilma Rousseff;18;Senado
137;aprovado plenário;1861;Dilma;18;Senado
138;aprovado plenário;1999;Dilma Rousseff;18;Senado
139;aprovado plenário;271;Dilma;18;Senado
140;aprovado plenário;5680;Dilma;6514;Senado
141;aprovado plenário;5680;Dilma Rousseff;18;Senado
142;aprovado relatório;4394;Dilma;1593;Comissão Especial
143;aprovado votação;10305;Dilma Rousseff;18;Senado.
144;aprovar impeachment;18;Senado;1999;Dilma
145;aprovar impeachment;18;Senado;4394;Dilma
146;aprovar mandato;18;Senado;4394;Dilma
147;aprovar presidente;18;Senado;10305;Dilma Rousseff
148;aproveitaram depoimento;24;Dilma;526;Costa
149;aproveitou;24;Dilma;320;Twitter
150;aprovou afastamento;18;Senado;4394;Dilma Rousseff
151;aprovou impeachment;18;Senado;4394;Dilma Rousseff
152;aprovou presidente;18;Senado;1999;Dilma Rousseff
153;aprovou processo;18;Senado;10305;Dilma Rousseff
154;apurou;556;TV Globo;1999;Dilma
155;apurou;4908;G1;4394;Dilma
156;apurou;556;TV Globo;4394;Dilma
157;apurou;556;TV Globo;5680;Dilma
158;apurou;556;TV Globo;1861;Dilma
159;argumentaram;3130;Humberto Costa;4394;Dilma
160;arrolada advogados;4394;Dilma;2213;Marcelo Odebrecht
161;assinados presidente;521;Luiz Cláudio Costa;24;Dilma Rousseff
162;assinados presidente;4596;Internet;4394;Dilma Rousseff
163;assista íntegra;5680;Dilma;1745;Cardozo
164;assistia;1461;SP;7874;Dilma Rousseff
165;assistirá votação;4394;Dilma;134;Palácio
166;assumir;7874;Dilma.;97;Presidência
167;assumir afastamento;7821;presidente Michel Temer;7296;Dilma.
168;assumir afastamento;7821;presidente Michel Temer;7874;Dilma.
169;assumir fundação;24;Dilma;1363;Diretório
170;assumir funções;5680;Dilma;7355;MBL
171;assumir lugar;1067;presidente Michel Temer;1409;Dilma
172;assumir presidência;24;Dilma;1100;Conselho Curador
173;assumiu exercício;1290;Dilma Rousseff;386;Mesmo
174;atingirá presidentes;1999;Dilma.;3362;República
175;atrair investimentos;4394;Dilma Rousseff;5611;Brasil
176;atrapalhar investigações;1999;Dilma Rousseff;101;Lava Jato
177;atrapalhava trabalho;5680;Dilma;464;TCU
178;atribuiu;10305;Dilma;1022;Cerveró
179;autorizando autorização;7874;Dilma Rousseff;80;Congresso
180;autorizar aprovação;1999;Dilma Rousseff;80;Congresso
181;avalia promessa;739;Washington Post;24;Dilma
182;avaliado presidente;1290;Dilma;2123;Tribunal Federal
183;avaliado presidente;5680;Dilma;2123;Tribunal Federal
184;avaliar contas;6088;Dantas.;4394;Dilma
185;avaliar contas;6088;Dantas;10305;Dilma
186;barrar impeachment;1290;Dilma;18;Senado.
187;barrar impeachment;7874;Dilma;6514;Senado. Interinidade
188;bateram aliados;9;Temer;1999;Dilma
189;bateram aliados;9;Temer;271;Dilma
190;beneficiar empresas;7874;Dilma Rousseff;8541;MMC
191;bom.;3419;Uhum;1999;Dilma
192;caminhou jardins;7874;Dilma Rousseff;134;Palácio
193;campus;7874;Dilma Rousseff;755;Centro
194;cancelar depoimento;11367;Dilma;364;Júlio Marcelo
195;cantavam;1290;Dilma;5685;Hino
196;carregavam apoio;10013;Cnpem;7874;Dilma
197;caso;338;Estado;11367;Dilma Rousseff
198;cassar mandato;18;Senado;1999;Dilma Rousseff
199;cassar mandato;18;Senado;4394;Dilma
200;cassar mandatos;167;PSDB;1409;Dilma
201;causando apoiadores;171;Janaína;1290;Dilma.
202;causaram aliados;510;Lewandowski;24;Dilma
203;celebrou conquista;2752;Dilma;2743;Isaquias Queiroz
204;celular;10305;Dilma;2213;Marcelo Odebrecht
205;chamadas pedaladas;1999;Dilma;2523;Cronograma
206;chamadas pedaladas;7874;Dilma;535;Plano Safra
207;chamadas pedaladas;10224;Dilma;2523;Cronograma
208;chamado deputado;7874;Dilma;8591;André Moura
209;chamar imprensa;1999;Dilma;135;Planalto
210;chamar imprensa;4394;Dilma;135;Planalto
211;chamaram ministros;10305;Dilma;2140;Supremo.
212;chamou;271;Dilma;521;áudio
213;chamou;1205;ES;4394;Dilma Rousseff
214;chega;7874;Dilma;18;Senado
215;chegaram;4394;Dilma Rousseff;80;Congresso
216;chegaram;10305;Dilma;80;Congresso
217;chegará;10305;Dilma;80;Congresso
218;chegou;4;presidente Dilma Rousseff;120;Rio
219;chegou;10224;Dilma;417;Esplanada
