203;609;Agrário
204;617;Comunicação,Comunicação Social
205;618;VEJA,VEJA A ÍNTEGRA
206;619;MP,COMPOSIÇÃO
207;620;MINISTÉRIO
208;621;DILMA
209;622;TEMER
210;629;Eixo Monumental,Eixo
211;630;Plano Piloto
212;638;Distrito Federal Ivan Cláudio Marx.,Distrito Federal
213;643;Deputados. Semana,Deputados.
214;651;Janaina Paschoal,Janaina Paschoal.,Janaina
215;656;Paschoal
216;657;Corte.,Corte Interamericana,Corte Especial,Corte
217;669;DILMA ROUSSEFF,IMPRENSA DILMA ROUSSEFF,MA,IMPRENSAPRESIDENTA DILMA ROUSSEFF
218;682;Flávio Dino
219;691;Hashtag
220;699;Camarotti.,Camarotti
221;707;Jorge Viana,senador Jorge Viana
222;708;AC,Av. ACM
223;709;Mensagem
224;713;Venezuela.,Venezuela
225;714;Nicolás Maduro
226;716;Alberto Castellar
227;719;Caracas
228;720;Maduro
229;721;Castellar
230;722;Delcy Rodríguez
231;723;Aristóbulo Istúriz
232;725;líderes,líder
233;727;vírus
234;728;América
235;736;New York Times
236;739;Washington Post
237;741;El Pais
238;755;Centro,Centro Cívico
239;756;Vitória
240;757;Frente Povo
241;758;Tadeu Guerzet
242;766;Telmário,Telmário Mota,Telmário Mota. Eleição,senador Telmário Mota
243;762;PDT
244;771;Mota,Mota. Cidinho
245;790;Padilha
246;792;FNL
247;806;Arlindo Chinaglia,China.,China
248;813;Petrobras José Eduardo Dutra,Petrobras Nestor Cerveró,Petrobras. Delatores,Petrobras.,Petrobras
249;824;UERJ
250;825;Ricardo Lodi.,Ricardo Lodi,Ricardo Lodi Ribeiro
251;838;FAB
252;849;Excelência Anastasia,Excelência,Ex
253;851;Presidente Dilma,Presidente Michel Temer.,Presidente Dilma Rousseff,Presidente
254;854;Gabinete,G1
255;892;periférica
256;908;CUT
257;910;Maceió
258;913;Goiânia
259;914;MST.,MST,MS,MST Movimento
260;917;Parlamento,Pará,Paraná
261;924;G1,RIO GRANDE
262;925;SUL
263;927;Praça,Praça Roosevelt
264;929;Boa
265;939;Ana,Ana Amélia Lemos,Ana Amélia
266;954;Lasier Martins
267;955;Pai,Paulo Paim
268;959;Argentina Cristina Kirchner,Argentina,Argentina. Dilma
269;963;Estrada
270;989;destituição
271;1005;Bruno Araújo
272;1007;Vida.,Vida
273;1009;CPMF
274;1012;ministro,ministro Herman Benjamin,ministro Nelson Barbosa
275;1021;Delcídio,senador Delcídio,senador Delcídio Amaral,senador
276;1016;diretor Kleber Mendonça Filho,diretor
277;1017;Nestor Cerveró,Petrobrás Nestor Cerveró
278;1022;Cerveró
279;1025;Pasadena,Pasadena.
280;1038;Amin
281;1044;Bovespa
282;1058;Coinvalores
283;1067;Michel Temer.,presidente Michel Temer,Michel,Michel Temer,República Michel Temer
284;1068;Ricardo Leyser
285;1072;Diário
